time,X_value,Y_value,Z_value
Started:,Oct 14 2017,16:09:29:362, 
1.5008,-0.75464,1.47928,9.58340
1.5105,-0.78926,1.43198,9.75783
1.5216,-0.82971,1.43019,9.85301
1.5306,-0.86284,1.43872,9.77576
1.5412,-0.84242,1.47079,9.63857
1.5533,-0.79550,1.48090,9.46210
1.5608,-0.69690,1.49719,9.61931
1.5859,-0.76648,1.45177,9.76041
1.5865,-0.77103,1.43970,9.70821
1.5959,-0.75240,1.40457,9.77342
1.6048,-0.79707,1.42455,9.81221
1.6138,-0.83411,1.42061,9.63965
1.6250,-0.87158,1.44487,9.51343
1.6349,-0.82526,1.46399,9.52934
1.6446,-0.76892,1.49217,9.53188
1.6549,-0.80585,1.48093,9.52713
1.6645,-0.80698,1.48718,9.51883
1.6742,-0.83070,1.47360,9.56743
1.6842,-0.84189,1.44588,9.52715
1.7070,-0.83971,1.46675,9.49757
1.7073,-0.80820,1.50247,9.49612
1.7150,-0.67360,1.49852,9.52138
1.7234,-0.68913,1.47810,9.68091
1.7329,-0.79236,1.42795,9.74109
1.7427,-0.83702,1.41237,9.71049
1.7530,-0.84848,1.47130,9.65677
1.7628,-0.85738,1.46300,9.63963
1.7730,-0.77942,1.49620,9.63632
1.7829,-0.84872,1.49831,9.69780
1.7928,-0.86852,1.46333,9.69386
1.8029,-0.81444,1.49318,9.63065
1.8124,-0.79523,1.47113,9.55675
1.8383,-0.81346,1.46782,9.53813
1.8385,-0.78694,1.43651,9.57727
1.8418,-0.79431,1.40248,9.70160
1.8509,-0.82156,1.38669,9.74962
1.8608,-0.84888,1.39731,9.75655
1.8708,-0.87689,1.40318,9.70546
1.8821,-0.80838,1.42783,9.64368
1.8916,-0.78535,1.48636,9.58430
1.9018,-0.78706,1.50652,9.57144
1.9119,-0.77510,1.49745,9.60800
1.9215,-0.73254,1.52669,9.56772
1.9314,-0.74037,1.52736,9.59831
1.9416,-0.79329,1.49855,9.57898
1.9627,-0.82483,1.45776,9.64885
1.9657,-0.83440,1.41698,9.73442
1.9754,-0.82976,1.37462,9.76314
1.9853,-0.78822,1.37955,9.76228
1.9951,-0.77113,1.39320,9.75638
2.0052,-0.78384,1.37489,9.67674
2.0152,-0.80038,1.39597,9.63547
2.0260,-0.79463,1.41861,9.53905
2.0353,-0.80521,1.46767,9.47902
2.0449,-0.80647,1.47281,9.43506
2.0547,-0.83823,1.46959,9.48354
2.0652,-0.77806,1.49390,9.59276
2.0920,-0.80786,1.47760,9.53778
2.0923,-0.85236,1.46530,9.53474
2.0951,-0.82599,1.43962,9.63315
2.1037,-0.79324,1.44153,9.74706
2.1128,-0.82462,1.45767,9.77196
2.1238,-0.83221,1.44284,9.71271
2.1337,-0.82864,1.44002,9.70120
2.1441,-0.78705,1.48619,9.76160
2.1538,-0.85350,1.46910,9.71866
2.1671,-0.88420,1.46443,9.69109
2.1739,-0.78201,1.53093,9.67595
2.1829,-0.77867,1.53319,9.64386
2.1930,-0.77303,1.51775,9.57155
2.2155,-0.79124,1.49432,9.49529
2.2159,-0.76723,1.48779,9.47189
2.2232,-0.82213,1.46608,9.49289
2.2328,-0.85188,1.44177,9.51695
2.2429,-0.81174,1.43224,9.64977
2.2525,-0.82851,1.42093,9.73576
2.2623,-0.80092,1.42131,9.77866
2.2730,-0.75520,1.43108,9.71501
2.2821,-0.71906,1.45996,9.66109
2.2923,-0.79251,1.43651,9.60228
2.3018,-0.81001,1.42555,9.58597
2.3128,-0.78770,1.47124,9.62985
2.3374,-0.80095,1.46413,9.67593
2.3376,-0.87267,1.40709,9.65532
2.3404,-0.82210,1.43677,9.61218
2.3508,-0.73758,1.50436,9.64801
2.3651,-0.79308,1.42548,9.57588
2.3751,-0.86259,1.42976,9.53177
2.3858,-0.84128,1.45482,9.59866
2.3957,-0.73637,1.47874,9.67183
2.4066,-0.78273,1.47940,9.69603
2.4157,-0.81955,1.46466,9.66132
2.4258,-0.80063,1.43109,9.65405
2.4351,-0.83401,1.46921,9.68968
2.4465,-0.80867,1.43298,9.71246
2.4756,-0.78792,1.45007,9.79828
2.4760,-0.83731,1.45378,9.67677
2.4764,-0.84119,1.45393,9.59077
2.4839,-0.81758,1.48283,9.54082
2.4942,-0.79814,1.47186,9.49719
2.5041,-0.80042,1.50453,9.49417
2.5132,-0.78391,1.49384,9.59576
2.5241,-0.82422,1.48497,9.63567
2.5338,-0.82452,1.46767,9.61693
2.5438,-0.79176,1.46832,9.59718
2.5537,-0.76933,1.47983,9.67314
2.5641,-0.82320,1.47360,9.71335
2.5742,-0.83502,1.46475,9.71184
2.5840,-0.84842,1.47704,9.69009
2.6088,-0.85417,1.48183,9.64101
2.6089,-0.83635,1.47414,9.60823
2.6137,-0.81250,1.47740,9.66681
2.6226,-0.83669,1.44283,9.71561
2.6322,-0.81331,1.45016,9.66380
2.6429,-0.79567,1.46413,9.63213
2.6527,-0.80251,1.46007,9.52530
2.6635,-0.82266,1.46980,9.49899
2.6730,-0.82709,1.43689,9.55577
2.6827,-0.84221,1.42804,9.64505
2.6929,-0.86023,1.44211,9.61528
2.7177,-0.86972,1.47351,9.56268
2.7179,-0.80302,1.46956,9.60815
2.7226,-0.77774,1.47701,9.63127
2.7315,-0.76595,1.50835,9.63365
2.7411,-0.77965,1.50778,9.57648
2.7505,-0.77347,1.52470,9.57744
2.7603,-0.77733,1.52112,9.66420
2.7704,-0.78862,1.51555,9.70569
2.7816,-0.81358,1.51340,9.67638
2.7920,-0.82851,1.48451,9.72409
2.8011,-0.83752,1.46863,9.79622
2.8110,-0.84021,1.44041,9.75287
2.8205,-0.86359,1.42780,9.65610
2.8311,-0.80730,1.43353,9.65343
2.8442,-0.79796,1.45299,9.63452
2.8504,-0.73457,1.46855,9.62187
2.8591,-0.78627,1.48164,9.48502
2.8689,-0.80855,1.41922,9.43784
2.8793,-0.83250,1.42699,9.49168
2.8890,-0.85536,1.43840,9.52866
2.9006,-0.88506,1.43056,9.52026
2.9150,-0.82318,1.47186,9.64462
2.9249,-0.77402,1.49066,9.63234
2.9341,-0.73265,1.50803,9.69479
2.9449,-0.76563,1.49600,9.74725
2.9576,-0.74719,1.47986,9.79538
2.9643,-0.76337,1.49638,9.80409
2.9844,-0.78017,1.49657,9.73981
2.9846,-0.81230,1.50537,9.60478
2.9938,-0.81593,1.53085,9.49666
3.0038,-0.84425,1.53381,9.45668
3.0131,-0.80432,1.52084,9.49228
3.0234,-0.76711,1.53883,9.63536
3.0337,-0.75160,1.53102,9.70172
3.0434,-0.78722,1.49611,9.64442
3.0531,-0.79852,1.46776,9.60551
3.0641,-0.81731,1.48900,9.57271
3.0730,-0.81482,1.47392,9.62126
3.0848,-0.82076,1.47948,9.65788
3.1053,-0.88371,1.43719,9.71657
3.1054,-0.87218,1.46237,9.69682
3.1119,-0.77737,1.49187,9.60052
3.1216,-0.70886,1.50154,9.63487
3.1310,-0.76105,1.49506,9.60757
3.1417,-0.84764,1.46848,9.58101
3.1565,-0.83746,1.50197,9.62448
3.1669,-0.81918,1.50197,9.64049
3.1775,-0.80830,1.49355,9.59592
3.1874,-0.77347,1.54385,9.54489
3.1965,-0.78319,1.49316,9.59145
3.2071,-0.78065,1.47786,9.67453
3.2177,-0.76657,1.45100,9.72729
3.2343,-0.81693,1.43269,9.75949
3.2384,-0.78249,1.44411,9.68869
3.2454,-0.78752,1.46208,9.68875
3.2560,-0.82509,1.48660,9.57899
3.2654,-0.82631,1.48763,9.53961
3.2751,-0.79022,1.50435,9.57066
3.2863,-0.79630,1.51221,9.61752
3.2961,-0.82454,1.51118,9.62236
3.3058,-0.80060,1.49736,9.54607
3.3169,-0.77142,1.52794,9.52838
