id,a,b,mu,sigma2,depthRange,count,x,tau2,depTau,zNoise,angle
0,10.160975,10.308517,1.644525,0.185888,3.562147,3,1.534907,0.148648,0.154452,0.708044,17.925411
1,10.400597,9.808409,1.920685,0.189873,4.226116,3,1.847436,0.147584,0.108072,0.620301,21.320694
3,10.131062,10.311446,1.752975,0.226306,3.810754,3,1.606007,0.198968,0.161331,0.882370,17.200497
4,10.388500,9.809790,1.912118,0.191482,4.148138,3,1.850314,0.155543,0.110389,0.565349,21.033087
7,9.916723,10.131600,1.056839,0.122132,2.126126,1,0.842323,0.392668,0.632503,1.189225,9.274167
8,10.203838,9.963647,1.858071,0.235264,4.059770,3,1.724181,0.206078,0.143372,0.756639,18.149128
9,10.000000,10.000000,1.235608,0.169636,2.471217,0,0.774768,0.167298,1.443425,3.145181,6.091435
10,10.555138,9.746276,1.928657,0.140685,4.157966,3,1.918091,0.096064,0.082153,0.355542,24.766699
11,10.054902,10.360265,1.799787,0.267688,3.842297,3,1.613206,0.282288,0.185814,0.897148,15.619274
13,9.910103,10.228690,1.620137,0.272332,3.345357,2,1.309324,0.457513,0.323687,1.508704,11.725210
14,10.077105,9.941962,1.097689,0.124476,2.395967,1,0.828758,2.361566,0.924358,2.161237,7.478362
16,9.869326,10.387486,1.612285,0.275849,3.289798,2,1.299646,0.549904,0.348807,1.109885,11.171413
17,10.070633,9.965496,1.363317,0.168102,2.866452,2,1.199161,0.184392,0.267818,0.888200,13.748547
18,9.940239,10.130660,1.695772,0.294590,3.523016,2,1.372681,0.460661,0.299376,1.354403,12.093081
19,10.270092,9.988783,1.599489,0.137648,3.418887,3,1.557820,0.091576,0.120316,0.391482,20.568991
20,10.396160,9.832956,1.751072,0.144274,3.781756,3,1.716861,0.097358,0.102573,0.427498,22.200434
23,10.064415,10.234479,1.763987,0.250451,3.766182,3,1.588003,0.253825,0.182927,0.753528,15.877908
24,10.484674,9.787179,1.786701,0.125879,3.827103,3,1.778438,0.076605,0.085486,0.279066,24.220274
25,10.510029,9.764631,1.851176,0.140431,4.034925,3,1.808230,0.092037,0.090310,0.365641,23.640171
32,10.000000,10.000000,2.264352,0.569699,4.528704,0,1.890660,0.926072,0.221850,0.416829,10.615550
33,10.000000,10.000000,2.072052,0.477044,4.144104,0,1.975723,0.639028,0.179137,0.282441,11.734305
34,10.000000,10.000000,2.086648,0.483789,4.173296,0,1.976230,0.695189,0.184964,0.311997,11.562886
35,10.000000,10.000000,1.923487,0.411089,3.846973,0,1.850654,0.726832,0.210976,0.403032,10.913284
0,10.440019,10.189693,1.601643,0.113941,3.562147,4,1.576651,0.111353,0.128711,0.702636,21.498114
3,10.387606,10.194672,1.698958,0.144435,3.810754,4,1.645408,0.151857,0.136659,0.847362,20.433012
4,10.733731,9.699017,1.886630,0.112736,4.148138,4,1.903697,0.122219,0.093415,0.568821,25.220474
7,9.947107,10.103630,1.030106,0.107558,2.126126,2,0.868273,0.194657,0.482507,1.141503,11.277189
9,10.056355,9.954523,1.107202,0.135674,2.471217,1,0.818404,3.536559,0.984607,2.718050,7.478520
10,10.977935,9.639775,1.923717,0.074912,4.157966,4,1.970099,0.074030,0.068813,0.401032,30.053400
11,10.264175,10.249633,1.739825,0.183511,3.842297,4,1.659928,0.210250,0.155348,0.843924,18.657278
13,10.013888,10.153358,1.552153,0.216026,3.345357,3,1.361209,0.303001,0.259898,1.361720,14.086323
16,9.950007,10.322164,1.553385,0.226562,3.289798,3,1.344027,0.339110,0.277520,1.015278,13.515395
18,10.055052,10.051789,1.620546,0.229821,3.523016,3,1.426113,0.309228,0.241097,1.224755,14.551625
19,10.616079,9.873145,1.580853,0.076207,3.418887,4,1.595283,0.066183,0.098587,0.443594,25.044853
23,10.284117,10.123922,1.705547,0.168975,3.766182,4,1.633923,0.186761,0.151903,0.719934,19.052637
24,10.903750,9.678848,1.782672,0.064515,3.827103,4,1.820046,0.056321,0.070464,0.350329,29.628632
25,10.922688,9.656806,1.830899,0.074239,4.034925,4,1.857836,0.069457,0.074878,0.415602,28.779224
28,10.000000,10.000000,1.239057,0.170585,2.478114,0,0.768387,0.158070,1.395395,3.305668,6.360713
32,10.094909,9.932704,2.181084,0.447673,4.528704,1,1.950024,0.289057,0.132017,0.486608,16.106422
33,10.126925,9.918572,2.046971,0.353242,4.144104,1,2.024038,0.213862,0.107535,0.407754,17.890060
34,10.119946,9.921390,2.059280,0.364367,4.173296,1,2.034471,0.232397,0.110575,0.424808,17.633560
35,10.100551,9.930036,1.907979,0.323726,3.846973,1,1.897302,0.228879,0.125381,0.482972,16.626127
0,10.804965,10.073195,1.592114,0.070528,3.562147,5,1.583553,0.090236,0.115765,0.692650,24.803080
3,10.724514,10.077744,1.679665,0.092531,3.810754,5,1.655816,0.125754,0.123898,0.816387,23.436716
4,11.160847,9.595867,1.893105,0.069980,4.148138,5,1.916618,0.104445,0.085609,0.566016,28.983761
7,10.055469,10.028107,0.995974,0.085674,2.126126,3,0.877821,0.123298,0.399613,1.092217,13.275158
10,11.489312,9.546248,1.943064,0.043741,4.157966,5,1.982062,0.062508,0.062659,0.427186,34.911869
11,10.547266,10.133101,1.713456,0.123232,3.842297,5,1.673921,0.173318,0.140374,0.801893,21.397917
13,10.185630,10.054690,1.501432,0.160102,3.345357,4,1.383148,0.232934,0.227335,1.255590,16.258451
16,10.097745,10.227738,1.501560,0.172138,3.289798,4,1.356206,0.251564,0.243061,0.941772,15.604491
18,10.240007,9.951821,1.566748,0.167796,3.523016,4,1.442883,0.240113,0.213112,1.134161,16.742039
19,11.058702,9.766494,1.586995,0.043782,3.418887,5,1.602685,0.052172,0.087188,0.473256,29.324526
24,11.421077,9.584492,1.799255,0.035945,3.827103,5,1.827644,0.045468,0.062991,0.393830,34.759953
25,11.430392,9.562118,1.842412,0.042535,4.034925,5,1.872281,0.057527,0.067334,0.444366,33.593628
28,10.054456,9.955757,1.104257,0.136489,2.478114,1,0.792898,4.562564,1.048655,2.888929,7.518718
32,10.315304,9.827454,2.086517,0.268787,4.528704,2,1.944731,0.159442,0.101469,0.498779,21.241550
33,10.376295,9.809296,2.037095,0.201157,4.144104,2,2.016273,0.116827,0.081790,0.458028,23.854370
35,10.327118,9.823785,1.903742,0.195270,3.846973,2,1.887042,0.121811,0.094871,0.514954,22.144171
36,10.000000,10.000000,2.564631,0.730815,5.129263,0,2.002832,19.062178,0.397738,0.724762,6.893238
37,10.000000,10.000000,1.801109,0.360444,3.602217,0,1.734728,254.288681,0.545956,0.444905,6.199340
40,10.000000,10.000000,2.055155,0.469296,4.110309,0,1.912467,21.186443,0.425421,0.377162,6.761321
41,10.000000,10.000000,2.243579,0.559294,4.487158,0,1.888420,109.836365,0.483980,0.837148,6.406963
0,11.240465,9.965683,1.589141,0.046034,3.562147,6,1.548339,0.076249,0.111735,0.673959,27.657690
4,11.649897,9.503230,1.900854,0.046930,4.148138,6,1.884065,0.091431,0.083095,0.558552,32.422947
7,10.230353,9.931114,0.964838,0.063635,2.126126,4,0.858363,0.088541,0.364357,1.030400,14.974243
10,12.066046,9.466196,1.956852,0.028308,4.157966,6,1.947118,0.054740,0.060845,0.440128,39.326557
11,10.891619,10.019462,1.701216,0.085130,3.842297,6,1.650827,0.146873,0.133769,0.764760,23.979822
13,10.416379,9.946993,1.468700,0.116304,3.345357,5,1.364151,0.189212,0.213855,1.173049,18.181398
16,10.302907,10.120835,1.462582,0.126760,3.289798,5,1.343588,0.196021,0.223199,0.879166,17.708517
