id,z,znoise,tau
82,1.024276,1.459634,9.411973
85,0.709567,0.715642,1.955545
86,0.797013,0.992523,45.791087
88,0.799773,0.656946,3.423516
90,0.835321,0.240026,1.847151
82,1.018221,1.289565,1.392726
92,1.106689,2.472921,-1.595835
93,0.765205,0.143821,-1.667235
94,0.748122,0.600821,-1.589197
95,0.763147,0.448605,-1.595266
92,1.112186,1.578664,-2.878130
94,0.748971,0.535340,1.022618
95,0.763765,0.445657,1.091209
96,0.811038,1.342593,-1.550872
97,0.586218,0.736462,-2.302273
98,0.700995,0.503787,-1.856085
92,1.112012,1.287233,195.619570
96,0.804819,0.974611,3.520816
92,1.113342,1.147088,1.233391
101,0.584000,0.800084,-3.348035
102,0.644562,1.215805,-1.881024
105,0.883578,2.279259,-1.580460
106,0.997331,0.466247,-1.799731
107,0.883290,1.428415,-1.683252
108,0.837284,1.485440,-1.712280
109,0.838903,0.573371,-1.873092
110,0.893179,0.743972,-1.814484
111,0.873219,1.781837,-1.688912
112,0.826011,1.041210,-1.823537
113,1.031353,1.806688,-1.738717
105,0.873677,1.450031,83.222741
106,0.985131,0.537211,2.524666
107,0.872029,0.974795,3.425785
108,0.828443,1.027722,1.676804
110,0.886152,0.672546,1.052827
111,0.862349,1.199454,2.826869
113,1.023789,1.210543,-40.393107
116,0.817676,1.418971,-1.738204
117,0.920525,0.634942,-1.794013
114,1.050703,2.217125,-3.373367
116,0.822489,0.958494,1.216114
117,0.928944,0.582685,1.344783
114,1.046772,1.669314,7.492868
118,0.868311,1.295006,-1.746737
120,0.868029,2.123296,-1.610320
121,0.893448,1.592623,-1.678967
123,0.885337,1.695758,-1.702277
124,1.089546,2.633959,-1.710866
118,0.864421,0.823342,1.839631
119,1.030596,2.936078,-2.331282
120,0.860468,1.264169,9.806526
121,0.889664,0.958673,5.070734
122,1.079041,3.021717,-2.396260
123,0.879236,1.049073,3.262380
124,1.082226,1.514448,-4.940318
119,1.036217,2.174803,-5.330275
122,1.083432,2.229332,-5.429638
124,1.088567,1.135605,1.931506
125,0.970000,0.305585,-1.858209
126,0.997884,1.788720,-1.733199
127,0.964888,1.206881,-1.787909
128,0.994207,1.818824,-1.666705
129,0.948182,1.599114,-1.700713
130,1.032008,0.141984,-1.853915
119,1.027759,1.784192,13.224027
122,1.073019,1.834577,13.283080
125,0.966548,0.280391,1.772763
126,0.985576,1.088541,413.947343
127,0.959429,0.779747,4.384195
128,0.987658,1.022837,-8.532094
129,0.942225,0.941083,18.736919
130,1.027834,0.050986,2.453003
119,1.022762,1.538188,2.054520
122,1.072014,1.588278,2.137809
131,1.118303,0.015531,-1.892805
132,1.071996,1.510592,-1.764695
133,1.210753,3.452761,-1.713454
134,1.090415,0.633096,-1.855831
135,1.114695,0.480625,-1.909225
131,1.117474,0.083863,16.600685
132,1.072545,0.899749,-10.186344
134,1.089328,0.454018,25.408173
135,1.110650,0.125065,5.526000
136,1.101487,0.648882,-1.850145
137,1.195302,0.272807,-1.948141
138,1.112244,0.027857,-1.914805
139,1.131947,0.319827,-1.900750
140,1.163441,0.917012,-1.824096
141,1.156154,0.084110,-1.934904
136,1.095001,0.457215,-38.836211
137,1.186517,0.049523,-52.627977
139,1.125652,0.298765,102.915992
140,1.158870,0.564061,-5.583568
141,1.148877,0.098776,23.853639
140,1.158942,0.462586,1.621740
142,1.193886,0.182454,-1.981065
143,1.179770,0.205935,-1.981700
144,1.260691,0.489948,-1.978316
145,1.392716,0.831164,-2.045078
143,1.168291,0.044102,31.322491
144,1.249397,0.389154,-7.225438
145,1.380239,0.541576,-4.386336
146,1.233337,0.282096,-2.006009
147,1.394160,0.431842,-2.060960
148,1.433595,2.581572,-1.963392
145,1.393483,0.455362,4.361117
146,1.253557,0.031082,-32.786212
147,1.420944,0.359541,-4.933182
148,1.466911,1.437625,-3.154390
149,1.594508,1.976437,-2.883600
150,1.348954,0.661665,-2.154653
151,1.342729,0.082018,-2.097901
152,1.323423,0.829418,-2.151799
153,1.381994,0.353226,-2.166422
154,1.275501,0.040842,-2.082204
147,1.438613,0.350992,3.179347
148,1.481019,1.070392,-9.489093
149,1.617581,1.416968,-4.874900
150,1.351490,0.147035,-18.061330
151,1.342740,0.237050,-7.396942
152,1.329711,0.216919,545.997649
153,1.386845,0.011900,-10.964337
154,1.285165,0.223646,-16.605134
155,1.593000,1.486705,-2.164842
156,1.335286,0.309400,-2.178203
157,1.470666,0.831926,-2.273383
158,1.376799,0.634199,-2.213689
148,1.492052,0.891453,4.708199
149,1.627872,1.139437,-21.766858
155,1.597543,1.003663,-3.309909
156,1.329604,0.055166,-33.713640
157,1.467741,0.218366,-11.400560
158,1.374066,0.113207,-25.668912
159,1.621266,0.993556,-2.246580
160,1.545969,0.712452,-2.229240
162,1.415592,0.859912,-2.271938
149,1.626798,0.964692,5.444369
155,1.587279,0.859069,-7.642127
159,1.606733,0.744141,-3.629026
160,1.551940,0.597000,-4.155636
161,2.172464,3.686448,-3.072054
162,1.402244,0.216458,-56.328473
155,1.577327,0.801211,10.703915
159,1.597926,0.677602,-13.306962
160,1.552583,0.569177,28.301644
161,2.162748,2.460277,-3.725987
163,1.605130,0.276435,-2.340938
164,1.515988,0.247166,-2.335679
165,1.551770,0.755985,-2.385291
166,1.463600,0.247583,-2.280557
155,1.554278,0.759654,1.805142
159,1.581252,0.637484,4.234478
161,2.158217,1.824834,-4.688654
163,1.586535,0.352728,-4.763591
