id,x,y,z
886,8.503291,4.276698,-3.047549
904,9.395515,3.125921,-2.976168
908,9.433175,2.638234,-3.065537
910,8.730672,4.194802,-3.053477
913,9.063414,4.380947,-3.029703
916,8.967118,4.518253,-3.006076
918,9.243621,4.307984,-3.079859
917,9.958284,3.399324,-3.042777
923,9.054748,3.791466,-3.098983
924,9.892885,3.846444,-3.067618
927,9.258594,3.219293,-3.111960
925,9.644212,3.203861,-3.071377
933,9.766074,4.269985,-3.155097
932,9.972733,4.492346,-3.152409
935,8.654094,4.395257,-3.134695
938,9.460810,3.755717,-3.171780
937,9.640710,4.468973,-3.193072
936,10.385265,4.020784,-3.167823
944,9.632460,3.369139,-3.119310
945,9.264423,3.979445,-3.029396
941,9.571227,2.895433,-3.071532
943,9.656377,5.147732,-3.079764
946,9.183499,2.883336,-3.140988
947,9.009213,3.224535,-3.141221
951,9.785188,2.671348,-3.153789
949,9.376432,4.434090,-3.048570
